avg_ipt,bytes_in,bytes_out,dest_ip,dest_port,entropy,num_pkts_out,num_pkts_in,proto,src_ip,src_port,time_end,time_start,total_entropy,label,duration
0,0,0,786,51592,0,1,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,379,786,51574,7.043326,2,0,6,786,9200,1.61276E+15,1.61276E+15,2669.4207,benign,0.009554
0,0,2466,786,9200,5.028042,2,0,6,786,51574,1.61276E+15,1.61276E+15,12399.152,benign,7.00E-06
0,0,380,786,51594,7.094213,1,0,6,786,9200,1.61276E+15,1.61276E+15,2695.801,benign,0
0,0,0,786,9200,0,1,0,6,786,51594,1.61276E+15,1.61276E+15,0,benign,0
0,0,0,786,9200,0,1,0,6,786,51574,1.61276E+15,1.61276E+15,0,benign,0
0,0,89,786,58949,3.710605,1,0,6,786,445,1.61276E+15,1.61276E+15,330.24387,malicious,0
0,0,16,786,5900,4,1,0,6,786,34472,1.61276E+15,1.61276E+15,64.00001,outlier,0
0,0,4,786,34472,0.811278,2,1,6,786,5900,1.61276E+15,1.61276E+15,3.245112,outlier,0.060581
0,0,0,786,445,0,2,1,6,786,50295,1.61276E+15,1.61276E+15,0,outlier,0.061599
0,0,0,786,445,0,1,1,6,786,50044,1.61276E+15,1.61276E+15,0,outlier,2.78E-04
0,0,0,786,5900,0,1,1,6,786,38467,1.61276E+15,1.61276E+15,0,outlier,0
25.5,270,191,786,445,4.554483,2,4,6,786,50295,1.61276E+15,1.61276E+15,2099.6167,outlier,0.104228
0,0,0,786,445,0,1,0,6,786,50044,1.61276E+15,1.61276E+15,0,outlier,0
0,0,0,786,34472,0,2,0,6,786,5900,1.61276E+15,1.61276E+15,0,outlier,0.108432
0,0,0,786,5900,0,1,0,6,786,38467,1.61276E+14,1.61276E+14,0,outlier,0
0,0,12,786,38467,2.918296,1,0,6,786,5900,1.61276E+15,1.61276E+15,35.019554,outlier,0
0,0,3086,786,9200,4.965065,3,0,6,786,51592,1.61276E+15,1.61276E+15,15322.19,benign,6.81E-04
0,0,5982,786,9200,3.822992,5,0,6,786,51600,1.61276E+15,1.61276E+15,22869.139,benign,5.27E-04
0,0,2,786,30127,1,1,0,6,786,5900,1.61276E+15,1.61276E+15,2,outlier,0
0,0,7240,786,9200,3.090429,5,0,6,786,51600,1.61276E+15,1.61276E+14,22374.705,benign,7.30E-05
0,0,7240,786,9200,3.166787,5,0,6,786,51592,1.61276E+15,1.61276E+15,22927.535,benign,7.60E-05
0,0,2896,786,9200,4.793347,2,2,6,786,51592,1.61276E+15,1.61276E+15,13881.532,benign,4.43E-04
0,0,0,786,51600,0,2,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,4534,786,9200,4.553187,4,0,6,786,51590,1.61276E+15,1.61276E+15,20644.148,benign,1.30E-04
0,0,8688,786,9200,2.691391,6,3,6,786,51590,1.61276E+15,1.61276E+14,23382.809,benign,3.81E-04
0,0,190,786,9200,5.141381,1,0,6,786,51598,1.61276E+15,1.61276E+15,976.8624,benign,0
0,0,13032,786,9200,2.034245,9,0,6,786,51598,1.61276E+15,1.61276E+15,26510.281,benign,1.19E-04
0,0,190,786,9200,5.134828,1,0,6,786,51594,1.61276E+15,1.61276E+15,975.6173,benign,0
0,0,13032,786,9200,2.046066,9,0,6,786,51594,1.61276E+14,1.61276E+15,26664.326,benign,1.99E-04
